tags,patterns
functional,"It's time for YouTube, chatbot."
functional,End recognizing hand gestures
functional,Begin recognizing motion gestures
functional,Take it easy
functional,I'd like to see YouTube.
functional,Sayonara
non_functional,"hi, nice weather today"
functional,What's today's date and what's the day today?
functional,Goodbye and thanks
non_functional,do you have any plans for today
non_functional,you're a failure
functional,What's my laptop's battery percentage?
functional,Give me the date
functional,"Boss, what's the CPU temperature, Karen?"
functional,It's YouTube time!
functional,"Hey Karen, I need the CPU temperature"
functional,Turn off hand gesture recognition
functional,I want to visit stackoverflow.
functional,What time is it at your end?
functional,"Google, load up"
functional,Visit Google
non_functional,I'm here for the humor
functional,Start recognizing motion signals
functional,Launch Google
functional,Activate gesture mode
non_functional,"Time for a joke, isn't it?"
functional,"YouTube, let's start."
functional,Go to the YouTube video platform.
functional,tell me date
functional,"Google, internet search"
functional,"Bye, bye"
functional,Deactivate gesture recognition
functional,"Google, open the search engine"
functional,Do you have the time?
functional,Do you have a charging port?
functional,Could you let me know the date?
functional,What's the present time?
non_functional,hi there
functional,End recognizing hand movements
functional,Enable hand gesture commands
functional,What's the date and day of the week?
functional,Access Google
functional,Begin gesture control
functional,Laptop battery status?
non_functional,hello again
functional,"What's the temperature, Karen?"
functional,How's the power situation?
non_functional,Share your funniest joke
non_functional,are you in learning mode
functional,How much charge do you have?
non_functional,you're stupid
non_functional,shut up
functional,"Google, take me online"
non_functional,are you currently working
functional,"Date details, please"
functional,What's the time at the moment?
functional,Could you let me know the time?
functional,"Google, please"
non_functional,Share a funny joke
non_functional,You're fantastic
non_functional,hiya
non_functional,tell me about your activities
non_functional,"hi, any hobbies"
functional,End recognizing motion gestures
functional,"Let me in on the time, if you can"
functional,"Google, go to the website"
functional,Cheerio
non_functional,you're an imbecile
non_functional,idiot
non_functional,I could use some humor
functional,I need to know the current date
functional,"Karen, is my CPU running too hot?"
non_functional,"hi, any cool music"
functional,What's the current time on your side?
non_functional,I could use some comic relief
functional,"Google, explore the internet"
non_functional,"hello, how's your family"
non_functional,You're superb
functional,Start hand gesture control
non_functional,are you engaged in conversations
non_functional,"hi, how are you"
non_functional,Who's your architect
non_functional,you're a disgrace
non_functional,Make me laugh
functional,Could you tell me today's date?
functional,"What's the CPU temperature, Karen?"
non_functional,who programmed you
functional,What's the time right now?
functional,"So long, partner"
functional,What's the date today and what day is it?
functional,Hasta la vista
non_functional,I'm in the mood for a joke
functional,Let me know the current time
functional,I want to know the date and day
functional,What's the time on your clock?
non_functional,Great
non_functional,are you analyzing data
non_functional,Crack a joke
functional,"Google, show me the search engine"
functional,Terminate gesture recognition
non_functional,i am fine
functional,"Can you tell me the current date, please?"
non_functional,how's it going
functional,Is your battery fully charged?
functional,Deactivate gesture mode
functional,"Karen, give me the temperature reading of the processor"
functional,"What's the temperature of the CPU, Karen?"
functional,Use hand gestures
functional,What's the day and date?
non_functional,hi
functional,Let's watch some YouTube.
non_functional,"hello, any movie suggestions"
non_functional,Who developed you
functional,Open Google website
non_functional,Wow
functional,So long
functional,"Karen, what's the heat level of my CPU?"
non_functional,Joke
functional,"What's the current temperature of the processor, Karen?"
non_functional,how's your day going
functional,Give me the current date
functional,"Google, open up"
functional,Tell me the current date
non_functional,Can you tell a funny story?
functional,"Battery level check, please."
functional,"Goodbye, friend"
non_functional,Who's your maker
functional,Open the YouTube web page.
functional,"Google, show the search bar"
functional,Display battery information.
functional,Have a great day
functional,Stop detecting gestures
functional,Can you work without charging?
functional,Tell me the date right at this moment
functional,What day is it today?
functional,I'm interested in the time of day
functional,I need to know the time
functional,Go to stackoverflow website.
non_functional,I want to hear a funny tale
functional,What's the battery status?
functional,"Google, it's time"
non_functional,"hello, stranger"
functional,Terminate hand gesture detection
functional,Show me stackoverflow.
functional,Start recognizing hand gestures
functional,Battery life status?
non_functional,Tell me about your developer
